"TrainNumber";"connectingIDs"
41714;"41714-291-sü#41714-291-ro#41714-291-ot#41714-291-rz#41714-291-js#41714-291-hv#41714-129-vk#41714-30-An#41714-30-Mz"
41748;"41748-291-ko#41748-291-ab#41748-291-hv#41748-291-vk#41748-10-Mz#41748-11-Mz#41748-10-Bw"
41749;"41749-10-Bw#41749-10-An#41749-291-He#41749-291-vk#41749-291-ko#41749-292-ko"
41780;"41780-84-Br#41780-84-te#41780-84-ab#41780-84-hv#41780-84-vk#41780-10-An"
41795;"41795-0-MR#41795-0-Pm"
41802;"41802-710-ja#41802-710-sü#41802-710-Ot#41802-710-Fc#41802-307-za#41802-70-Hü#41802-70-ak"
41811;"41811-80-we#41811-80-Hü#41811-238-za#41811-710-Fc#41811-710-Ot#41811-710-sü"
41816;"41816-710-ja#41816-710-sü#41816-710-Ot#41816-710-fc#41816-299-ZW#41816-299-SI#41816-299-hw#41816-10-Ky#41816-90-Hü#41816-90-ak#41816-90-we"
41857;"41857-0-An#41857-0-He#41857-0-hv#41857-0-ko#41857-0-ab#41857-0-Br#41857-0-sü#41857-1-sü#41857-0-ja"
41859;"41859-0-Hn#41859-215-vk#41859-0-ko#41859-0-ab#41859-0-te#41859-0-Br#41859-0-sü#41859-1-sü#41859-0-ja#41859-2-ja"
41903;"41903-80-we#41903-80-Hü#41903-238-Si#41903-238-Js#41903-238-rz#41903-238-Fc#41903-238-Ec"
41930;"41930-208-Ec#41930-208-Fc#41930-208-rz#41930-208-js#41930-208-si"
41945;"41945-11-Mz#41945-29-he#41945-29-js#41945-29-rz#41945-29-tr#41945-29-Ec"
41946;"41946-29-Ec#41946-29-Ot#41946-29-rz#41946-29-js#41946-29-hv#41946-29-vk#41946-320-Hn#41946-321-Hn"
41952;"41952-276-Ec#41952-276-Fc#41952-276-rz#41952-276-js#41952-276-He#41952-20-An#41952-20-Bw"
41953;"41953-20-Bw#41953-20-An#41953-276-He#41953-276-js#41953-276-rz#41953-276-Ot#41953-276-Ec"
41965;"41965-0-Bw#41965-0-Mz#41965-0-An#41965-0-He#41965-0-hv#41965-0-js#41965-0-rz#41965-0-Fc#41965-0-Ec"
42006;"42006-215-Bj#42006-215-Ar#42006-215-ab#42006-602-su#42006-602-vk#42006-310-Hn"
42013;"42013-41-Bw#42013-40-Kh"
